Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
blue semi precious stones;4;4;90;8;0.19;https://rezagemcollection.ca/collections/blue-gemstones;2;0.32;0.00;0.85;10;[52,52,52,52,41,41,41,41,64,52,64,64];2025-11-16;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
reza gem collection;10;10;70;28;0.00;http://www.rezagemcollection.ca/;2;0.32;0.00;0.05;61;[33,42,9,52,9,52,42,33,52,66,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Video, Related searches;navigational;Knowledge panel
dark green precious stone;5;5;110;21;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;2;0.32;0.00;0.44;44300000;[100,0,78,100,100,100,100,100,100,78,100,0];2025-08-26;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial;Organic
october gem;1;1;390;32;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;2;0.32;0.00;0.2;183000000;[44,44,54,100,54,66,44,29,44,44,44,36];2025-09-02;Image pack, Sitelinks, Video, Related searches, AI overview;informational;AI overview
october gem;12;12;390;32;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;2;0.32;0.00;0.2;183000000;[44,44,54,100,54,66,44,29,44,44,44,36];2025-09-02;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
dark green precious stones;4;4;110;21;4.01;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;2;0.32;8.00;0.47;13800000;[82,82,82,82,82,82,100,64,82,82,0,0];2025-11-04;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;commercial, informational;Organic
light green semi precious stone;4;4;110;16;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;2;0.32;0.00;0.74;17400000;[100,100,78,78,78,100,100,78,100,78,100,78];2025-08-31;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums;informational;Organic
labradorite labradorite;10;10;1900;34;0.19;https://rezagemcollection.ca/collections/labradorite-gemstone-beads;2;0.32;0.00;0.85;11100000;[5,5,7,18,24,29,53,100,44,35,100,18];2025-10-12;Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial, informational;Organic
crystal precious stone;13;13;390;43;0.53;https://rezagemcollection.ca/;2;0.32;1.00;0.93;21400000;[54,66,66,66,54,81,81,54,81,100,44,35];2025-08-30;Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches;commercial;Organic
dark green stone;5;5;140;20;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;2;0.32;0.00;0.44;1050000000;[82,82,82,82,64,82,64,82,82,64,82,82];2025-08-31;Image pack, Video, Image, People also ask, Popular products, Related searches;informational;Organic
what is yooperlite;1;1;110;31;0.00;https://rezagemcollection.ca/collections/yooperlite;2;0.32;0.00;0.13;254000;[3,3,3,3,3,3,18,3,44,100,35,18];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;People also ask
beads with crystals;12;12;320;14;0.61;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;2;0.32;1.00;1;22500000;[81,100,81,81,81,81,81,66,54,81,54,43];2025-09-06;Image pack, Video, Image, Video Carousel, Popular products, Related searches;informational;Organic
crystal beads;11;11;390;20;0.48;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;1;0.16;0.00;1;10;[54,81,81,66,66,66,81,66,81,54,66,81];2025-11-13;Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches;informational, transactional;Organic
blue gemstones;1;1;1600;20;0.36;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.39;69100000;[84,100,84,100,100,52,84,84,84,84,84,52];2025-11-17;Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview;commercial, informational;AI overview
green semi precious stones;3;3;880;16;0.45;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;1;0.16;0.00;0.41;9990000;[55,62,62,45,62,45,62,45,81,62,30,55];2025-10-05;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
birthstone is october;14;14;480;28;0.21;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;1;0.16;0.00;0.47;9390000;[54,100,66,100,100,66,44,54,44,66,81,81];2025-10-21;Sitelinks, Video, Image, People also ask, Related searches, AI overview;informational;Organic
light blue colored gemstones;6;6;90;26;0.36;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.67;25500000;[0,66,0,0,0,82,100,0,0,0,66,0];2025-09-05;Image pack, Sitelinks, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
green precious stone;4;4;50;20;0.62;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;1;0.16;0.00;0.36;84500000;[0,5,10,5,0,0,0,0,2,0,100,23];2025-09-02;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;Organic
labradorite healing qualities;1;1;320;7;0.02;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;1;0.16;0.00;0.14;8;[66,66,54,81,81,43,43,66,66,35,29,100];2025-11-19;Sitelinks, Video, Video Carousel, People also ask, Related searches, Ads middle, AI overview;commercial, informational;AI overview
labradorite healing qualities;9;9;320;7;0.02;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;1;0.16;0.00;0.14;8;[66,66,54,81,81,43,43,66,66,35,29,100];2025-11-19;Sitelinks, Video, Video Carousel, People also ask, Related searches, Ads middle, AI overview;commercial, informational;Organic
dark blue semi precious gemstone;6;6;90;21;0.00;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.37;2170000;[0,0,52,66,66,0,0,52,66,66,66,66];2025-09-09;Image pack, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
freshwater cultured pearls;11;11;590;17;0.45;https://rezagemcollection.ca/collections/freshwater-pearls;1;0.16;0.00;1;2950000;[67,55,45,100,76,20,20,45,45,45,36,30];2025-10-12;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
what gem is october;9;9;390;17;0.12;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;1;0.16;0.00;0.25;10;[54,100,54,81,66,44,36,44,66,23,66,36];2025-11-14;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
what is a yooperlite;1;1;110;22;0.00;https://rezagemcollection.ca/collections/yooperlite;1;0.16;0.00;0.05;253000;[3,3,3,3,3,3,23,3,44,100,28,15];2025-11-26;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, AI overview;informational;People also ask
gemstone for august;1;1;90;8;0.28;https://rezagemcollection.ca/collections/august-birthstone;1;0.16;0.00;0.88;10;[6,6,5,15,15,4,12,19,23,9,9,19];2025-11-17;Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview;informational;AI overview
larimar larimar;13;13;1300;27;0.22;https://rezagemcollection.ca/collections/larimar;1;0.16;0.00;0.9;19000000;[30,41,41,41,66,66,54,100,79,54,54,66];2025-10-06;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
emerald jewelry set;9;9;70;10;0.66;https://rezagemcollection.ca/products/jewelry-set-emerald-1;1;0.16;0.00;1;28100000;[28,23,12,17,23,17,17,17,17,17,10,5];2025-08-29;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
light blue gemstones;4;4;70;10;0.52;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.57;10;[19,19,26,3,19,19,26,19,42,34,42,42];2025-11-18;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
howlite stone;9;9;170;8;0.11;https://rezagemcollection.ca/collections/howlite-gemstone-beads;1;0.16;0.00;0.43;10;[43,43,53,53,53,43,53,43,43,53,81,65];2025-11-09;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;Organic
saltwater pearls;1;1;110;23;1.06;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;1;0.16;1.00;0.99;2030000;[78,64,78,64,100,78,50,64,78,78,78,64];2025-09-09;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;People also ask
light blue precious stone;9;9;260;17;0.56;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.64;57700000;[66,53,66,66,82,100,66,66,82,66,53,100];2025-09-11;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
howlite;1;1;1600;14;0.25;https://rezagemcollection.ca/collections/howlite-gemstone-beads;1;0.16;0.00;0.24;10;[36,36,36,43,36,29,36,36,36,29,36,29];2025-11-15;Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview;informational;AI overview
gemstones and semi precious stones;20;20;720;31;0.31;https://rezagemcollection.ca/collections/green-semi-precious-stones;1;0.16;0.00;0.54;0;[36,55,45,67,76,45,76,76,67,67,24,36];2025-11-24;Image pack, Sitelinks, Video, Related searches;informational;Organic
moonstone moonstone;26;26;1900;13;0.66;https://rezagemcollection.ca/collections/moonstone;1;0.16;0.00;0.47;10;[5,4,8,24,29,16,53,81,29,35,100,18];2025-11-13;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
ruby and zoisite;1;1;260;19;0.95;https://rezagemcollection.ca/collections/zoisite-gemstone-beads;1;0.16;0.00;0.44;1070000;[43,66,66,100,81,54,66,35,66,35,35,81];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;AI overview
what birthstone is in october;9;9;320;10;0.12;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;1;0.16;0.00;0.25;9;[66,100,44,54,44,35,35,35,54,44,66,54];2025-11-18;Image pack, Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, AI overview;informational;Organic
wholesale gemstones canada;9;9;90;34;0.73;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;1;0.16;0.00;1;5040000;[52,66,42,33,42,42,52,42,52,33,33,33];2025-09-02;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
gemstone dark blue;5;5;90;23;0.00;https://rezagemcollection.ca/collections/blue-gemstones;1;0.16;0.00;0.37;23800000;[0,0,64,82,82,0,0,64,82,82,82,82];2025-09-09;Image pack, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
green colour stone name;10;10;260;31;0.42;https://rezagemcollection.ca/collections/green-semi-precious-stones;1;0.16;0.00;0.12;10;[81,81,81,81,81,0,0,66,0,44,0,0];2025-11-25;Image pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview;informational, transactional;Organic
tourmaline beads;30;30;70;10;0.43;https://rezagemcollection.ca/products/black-tourmaline-faceted-rondelle-beads;0;0;0.00;1;4600000;[3,5,5,10,8,8,6,5,5,5,5,1];2025-08-25;Image pack, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
tourmaline beads;43;43;70;10;0.43;https://rezagemcollection.ca/products/faceted-tourmaline-rondelle-beads-6x4mm;0;0;0.00;1;4600000;[3,5,5,10,8,8,6,5,5,5,5,1];2025-08-25;Image pack, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
gemstone canada;17;17;210;41;0.43;https://rezagemcollection.ca/;0;0;0.00;0.7;378000000;[81,34,6,65,81,81,81,65,34,65,65,81];2025-11-15;Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches;commercial;Organic
cultured freshwater pearls vs freshwater pearls;26;26;50;30;0.25;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;0.29;4340000;[18,18,18,18,100,100,100,18,18,63,63,81];2025-09-10;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial;Organic
october birth stones;63;63;210;34;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;111000000;[28,15,18,44,15,35,15,23,54,0,100,81];2025-08-17;Sitelinks, Video, Related searches, AI overview;informational;Organic
calcite stone;18;18;70;40;0.00;https://rezagemcollection.ca/collections/calcite-gemstone-beads;0;0;0.00;0.11;26500000;[50,64,50,50,50,50,50,50,50,64,50,50];2025-10-22;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
store beads;43;43;590;42;0.63;https://rezagemcollection.ca/;0;0;0.00;0.59;10;[0,0,0,0,0,0,0,100,0,54,54,100];2025-11-18;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
carnelian beads;6;6;70;13;0.39;https://rezagemcollection.ca/collections/carnelian-gemstone-beads;0;0;0.00;1;4770000;[64,64,11,11,11,17,23,17,23,64,64,100];2025-11-23;Image pack, Sitelinks, Video, Image, People also ask, Popular products;transactional;Organic
gemstone jewelry near me;27;27;70;49;0.79;https://rezagemcollection.ca/;0;0;0.00;0.98;10;[50,50,35,50,35,50,50,28,50,14,78,78];2025-11-24;Local pack, Image pack, Sitelinks, Image, Popular products, Related searches;transactional;Organic
zoisite and ruby;29;29;170;24;0.30;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.48;1070000;[0,0,35,0,54,81,81,0,0,100,0,0];2025-09-03;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
moss agate gemstone;34;34;110;27;0.59;https://rezagemcollection.ca/blogs/news/moss-agate-gemstone-beads;0;0;0.00;0.99;1810000;[100,100,100,78,64,100,100,64,100,78,78,100];2025-09-05;Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
howlite properties;38;38;90;25;0.00;https://rezagemcollection.ca/collections/howlite-gemstone-beads;0;0;0.00;0.08;684000;[10,8,8,8,5,5,6,5,6,3,6,5];2025-11-20;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
ruby jewelry canada;36;36;70;11;0.93;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;8540000;[100,82,29,17,23,29,29,23,41,17,23,41];2025-09-01;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
moonstone gemstone beads;9;9;70;4;0.49;https://rezagemcollection.ca/collections/moonstone;0;0;0.00;0.98;4670000;[78,50,50,50,50,50,50,50,50,50,50,64];2025-09-07;Image pack, Video, Image, People also ask, Popular products, Related searches;transactional;Organic
moonstone gemstone beads;37;37;70;4;0.49;https://rezagemcollection.ca/products/moonstone-aaaa-polished-round-beads;0;0;0.00;0.98;4670000;[78,50,50,50,50,50,50,50,50,50,50,64];2025-09-07;Image pack, Video, Image, People also ask, Popular products, Related searches;transactional;Organic
october 5 birthstone;46;46;50;23;0.00;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;2900000;[14,14,14,50,14,21,21,14,50,14,78,78];2025-09-05;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;Organic
the black pearls;38;38;480;30;0.00;https://rezagemcollection.ca/blogs/news/black-pearls;0;0;0.00;0.03;176000000;[100,30,20,36,0,0,0,30,55,36,30,36];2025-09-01;Knowledge panel, Sitelinks, Video, Related searches;informational;Organic
